year,week,is_blocking,closest_center_label,time
1973,26,0,,1973-06-25
1973,27,0,,1973-07-02
1973,28,0,,1973-07-09
1973,29,0,,1973-07-16
1973,30,0,,1973-07-23
1973,31,0,,1973-07-30
1973,32,1,N,1973-08-06
1973,33,1,N,1973-08-13
1973,34,0,,1973-08-20
1973,35,0,,1973-08-27
1973,36,1,N,1973-09-03
1973,37,1,N,1973-09-10
1973,38,0,,1973-09-17
1973,39,1,W,1973-09-24
1973,40,1,N,1973-10-01
1973,41,1,E,1973-10-08
1973,42,0,,1973-10-15
1973,43,1,N,1973-10-22
1973,44,0,,1973-10-29
1973,45,0,,1973-11-05
1973,46,0,,1973-11-12
1973,47,0,,1973-11-19
1973,48,0,,1973-11-26
1973,49,0,,1973-12-03
1973,50,0,,1973-12-10
1973,51,0,,1973-12-17
1973,52,0,,1973-12-24
1974,1,0,,1974-01-01
1974,2,0,,1974-01-08
1974,3,0,,1974-01-15
1974,4,0,,1974-01-22
1974,5,0,,1974-01-29
1974,6,0,,1974-02-05
1974,7,0,,1974-02-12
1974,8,0,,1974-02-19
1974,9,0,,1974-02-26
1974,10,0,,1974-03-05
1974,11,0,,1974-03-12
1974,12,0,,1974-03-19
1974,13,0,,1974-03-26
1974,14,0,,1974-04-02
1974,15,0,,1974-04-09
1974,16,0,,1974-04-16
1974,17,0,,1974-04-23
1974,18,0,,1974-04-30
1974,19,0,,1974-05-07
1974,20,0,,1974-05-14
1974,21,0,,1974-05-21
1974,22,0,,1974-05-28
1974,23,0,,1974-06-04
1974,24,0,,1974-06-11
1974,25,0,,1974-06-18
1974,26,0,,1974-06-25
1974,27,0,,1974-07-02
1974,28,0,,1974-07-09
1974,29,0,,1974-07-16
1974,30,0,,1974-07-23
1974,31,0,,1974-07-30
1974,32,0,,1974-08-06
1974,33,1,N,1974-08-13
1974,34,1,N,1974-08-20
1974,35,1,W,1974-08-27
1974,36,1,N,1974-09-03
1974,37,1,N,1974-09-10
1974,38,1,N,1974-09-17
1974,39,1,E,1974-09-24
1974,40,1,E,1974-10-01
1974,41,0,,1974-10-08
1974,42,0,,1974-10-15
1974,43,0,,1974-10-22
1974,44,0,,1974-10-29
1974,45,0,,1974-11-05
1974,46,0,,1974-11-12
1974,47,0,,1974-11-19
1974,48,0,,1974-11-26
1974,49,0,,1974-12-03
1974,50,0,,1974-12-10
1974,51,0,,1974-12-17
1974,52,0,,1974-12-24
1975,1,0,,1975-01-01
1975,2,0,,1975-01-08
1975,3,0,,1975-01-15
1975,4,0,,1975-01-22
1975,5,0,,1975-01-29
1975,6,0,,1975-02-05
1975,7,0,,1975-02-12
1975,8,0,,1975-02-19
1975,9,0,,1975-02-26
1975,10,0,,1975-03-05
1975,11,0,,1975-03-12
1975,12,0,,1975-03-19
1975,13,0,,1975-03-26
1975,14,0,,1975-04-02
1975,15,0,,1975-04-09
1975,16,0,,1975-04-16
1975,17,0,,1975-04-23
1975,18,0,,1975-04-30
1975,19,0,,1975-05-07
1975,20,0,,1975-05-14
1975,21,0,,1975-05-21
1975,22,0,,1975-05-28
1975,23,0,,1975-06-04
1975,24,0,,1975-06-11
1975,25,0,,1975-06-18
1975,26,0,,1975-06-25
1975,27,0,,1975-07-02
1975,28,0,,1975-07-09
1975,29,0,,1975-07-16
1975,30,0,,1975-07-23
1975,31,1,N,1975-07-30
1975,32,1,N,1975-08-06
1975,33,0,,1975-08-13
1975,34,1,N,1975-08-20
1975,35,1,N,1975-08-27
1975,36,1,E,1975-09-03
1975,37,1,W,1975-09-10
1975,38,1,N,1975-09-17
1975,39,1,W,1975-09-24
1975,40,0,,1975-10-01
1975,41,0,,1975-10-08
1975,42,1,E,1975-10-15
1975,43,1,N,1975-10-22
1975,44,1,N,1975-10-29
1975,45,0,,1975-11-05
1975,46,0,,1975-11-12
1975,47,0,,1975-11-19
1975,48,0,,1975-11-26
1975,49,0,,1975-12-03
1975,50,0,,1975-12-10
1975,51,0,,1975-12-17
1975,52,0,,1975-12-24
1976,1,0,,1976-01-01
1976,2,0,,1976-01-08
1976,3,0,,1976-01-15
1976,4,0,,1976-01-22
1976,5,0,,1976-01-29
1976,6,0,,1976-02-05
1976,7,0,,1976-02-12
1976,8,0,,1976-02-19
1976,9,0,,1976-02-26
1976,10,0,,1976-03-04
1976,11,0,,1976-03-11
1976,12,0,,1976-03-18
1976,13,0,,1976-03-25
1976,14,0,,1976-04-01
1976,15,0,,1976-04-08
1976,16,0,,1976-04-15
1976,17,0,,1976-04-22
1976,18,0,,1976-04-29
1976,19,0,,1976-05-06
1976,20,0,,1976-05-13
1976,21,0,,1976-05-20
1976,22,0,,1976-05-27
1976,23,0,,1976-06-03
1976,24,0,,1976-06-10
1976,25,0,,1976-06-17
1976,26,0,,1976-06-24
1976,27,0,,1976-07-01
1976,28,0,,1976-07-08
1976,29,0,,1976-07-15
1976,30,0,,1976-07-22
1976,31,0,,1976-07-29
1976,32,1,S,1976-08-05
1976,33,1,E,1976-08-12
1976,34,1,E,1976-08-19
1976,35,1,E,1976-08-26
1976,36,1,N,1976-09-02
1976,37,1,E,1976-09-09
1976,38,1,W,1976-09-16
1976,39,0,,1976-09-23
1976,40,0,,1976-09-30
1976,41,0,,1976-10-07
1976,42,1,W,1976-10-14
1976,43,1,W,1976-10-21
1976,44,0,,1976-10-28
1976,45,0,,1976-11-04
1976,46,0,,1976-11-11
1976,47,0,,1976-11-18
1976,48,0,,1976-11-25
1976,49,0,,1976-12-02
1976,50,0,,1976-12-09
1976,51,0,,1976-12-16
1976,52,0,,1976-12-23
1976,53,0,,1976-12-30
1977,1,0,,1977-01-01
1977,2,0,,1977-01-08
1977,3,0,,1977-01-15
1977,4,0,,1977-01-22
1977,5,0,,1977-01-29
1977,6,0,,1977-02-05
1977,7,0,,1977-02-12
1977,8,0,,1977-02-19
1977,9,0,,1977-02-26
1977,10,0,,1977-03-05
1977,11,0,,1977-03-12
1977,12,0,,1977-03-19
1977,13,0,,1977-03-26
1977,14,0,,1977-04-02
1977,15,0,,1977-04-09
1977,16,0,,1977-04-16
1977,17,0,,1977-04-23
1977,18,0,,1977-04-30
1977,19,0,,1977-05-07
1977,20,0,,1977-05-14
1977,21,0,,1977-05-21
1977,22,0,,1977-05-28
1977,23,0,,1977-06-04
1977,24,0,,1977-06-11
1977,25,0,,1977-06-18
1977,26,0,,1977-06-25
1977,27,0,,1977-07-02
1977,28,0,,1977-07-09
1977,29,0,,1977-07-16
1977,30,0,,1977-07-23
1977,31,0,,1977-07-30
1977,32,0,,1977-08-06
1977,33,0,,1977-08-13
1977,34,1,W,1977-08-20
1977,35,1,W,1977-08-27
1977,36,1,W,1977-09-03
1977,37,1,E,1977-09-10
1977,38,1,E,1977-09-17
1977,39,0,,1977-09-24
1977,40,1,N,1977-10-01
1977,41,1,N,1977-10-08
1977,42,1,N,1977-10-15
1977,43,0,,1977-10-22
1977,44,0,,1977-10-29
1977,45,0,,1977-11-05
1977,46,0,,1977-11-12
1977,47,0,,1977-11-19
1977,48,0,,1977-11-26
1977,49,0,,1977-12-03
1977,50,0,,1977-12-10
1977,51,0,,1977-12-17
1977,52,0,,1977-12-24
1977,53,0,,1977-12-31
1978,1,0,,1978-01-01
1978,2,0,,1978-01-08
1978,3,0,,1978-01-15
1978,4,0,,1978-01-22
1978,5,0,,1978-01-29
1978,6,0,,1978-02-05
1978,7,0,,1978-02-12
1978,8,0,,1978-02-19
1978,9,0,,1978-02-26
1978,10,0,,1978-03-05
1978,11,0,,1978-03-12
1978,12,0,,1978-03-19
1978,13,0,,1978-03-26
1978,14,0,,1978-04-02
1978,15,0,,1978-04-09
1978,16,0,,1978-04-16
1978,17,0,,1978-04-23
1978,18,0,,1978-04-30
1978,19,0,,1978-05-07
1978,20,0,,1978-05-14
1978,21,0,,1978-05-21
1978,22,0,,1978-05-28
1978,23,0,,1978-06-04
1978,24,0,,1978-06-11
1978,25,0,,1978-06-18
1978,26,0,,1978-06-25
1978,27,0,,1978-07-02
1978,28,0,,1978-07-09
1978,29,0,,1978-07-16
1978,30,0,,1978-07-23
1978,31,0,,1978-07-30
1978,32,0,,1978-08-06
1978,33,1,N,1978-08-13
1978,34,1,E,1978-08-20
1978,35,1,E,1978-08-27
1978,36,0,,1978-09-03
1978,37,1,E,1978-09-10
1978,38,1,N,1978-09-17
1978,39,1,E,1978-09-24
1978,40,1,N,1978-10-01
1978,41,1,N,1978-10-08
1978,42,1,N,1978-10-15
1978,43,0,,1978-10-22
1978,44,0,,1978-10-29
1978,45,0,,1978-11-05
1978,46,0,,1978-11-12
1978,47,0,,1978-11-19
1978,48,0,,1978-11-26
