year,month,is_blocking,closest_center_label,time
1970,1,0,,1970-01-01
1970,2,0,,1970-02-01
1970,3,0,,1970-03-01
1970,4,0,,1970-04-01
1970,5,0,,1970-05-01
1970,6,0,,1970-06-01
1970,7,0,,1970-07-01
1970,8,1,N,1970-08-01
1970,9,1,W,1970-09-01
1970,10,1,N,1970-10-01
1970,11,0,,1970-11-01
1970,12,0,,1970-12-01
1971,1,0,,1971-01-01
1971,2,0,,1971-02-01
1971,3,0,,1971-03-01
1971,4,0,,1971-04-01
1971,5,0,,1971-05-01
1971,6,0,,1971-06-01
1971,7,0,,1971-07-01
1971,8,1,N,1971-08-01
1971,9,1,E,1971-09-01
1971,10,1,N,1971-10-01
1971,11,0,,1971-11-01
1971,12,0,,1971-12-01
1972,1,0,,1972-01-01
1972,2,0,,1972-02-01
1972,3,0,,1972-03-01
1972,4,0,,1972-04-01
1972,5,0,,1972-05-01
1972,6,0,,1972-06-01
1972,7,0,,1972-07-01
1972,8,1,W,1972-08-01
1972,9,1,E,1972-09-01
1972,10,1,N,1972-10-01
1972,11,0,,1972-11-01
1972,12,0,,1972-12-01
1973,1,0,,1973-01-01
1973,2,0,,1973-02-01
1973,3,0,,1973-03-01
1973,4,0,,1973-04-01
1973,5,0,,1973-05-01
1973,6,0,,1973-06-01
1973,7,0,,1973-07-01
1973,8,1,N,1973-08-01
1973,9,1,N,1973-09-01
1973,10,1,N,1973-10-01
1973,11,0,,1973-11-01
1973,12,0,,1973-12-01
1974,1,0,,1974-01-01
1974,2,0,,1974-02-01
1974,3,0,,1974-03-01
1974,4,0,,1974-04-01
1974,5,0,,1974-05-01
1974,6,0,,1974-06-01
1974,7,0,,1974-07-01
1974,8,1,N,1974-08-01
1974,9,1,N,1974-09-01
1974,10,1,E,1974-10-01
1974,11,0,,1974-11-01
1974,12,0,,1974-12-01
1975,1,0,,1975-01-01
1975,2,0,,1975-02-01
1975,3,0,,1975-03-01
1975,4,0,,1975-04-01
1975,5,0,,1975-05-01
1975,6,0,,1975-06-01
1975,7,0,,1975-07-01
1975,8,1,N,1975-08-01
1975,9,1,N,1975-09-01
1975,10,1,N,1975-10-01
1975,11,0,,1975-11-01
1975,12,0,,1975-12-01
1976,1,0,,1976-01-01
1976,2,0,,1976-02-01
1976,3,0,,1976-03-01
1976,4,0,,1976-04-01
1976,5,0,,1976-05-01
1976,6,0,,1976-06-01
1976,7,0,,1976-07-01
1976,8,1,E,1976-08-01
1976,9,1,E,1976-09-01
1976,10,1,W,1976-10-01
1976,11,0,,1976-11-01
1976,12,0,,1976-12-01
1977,1,0,,1977-01-01
1977,2,0,,1977-02-01
1977,3,0,,1977-03-01
1977,4,0,,1977-04-01
1977,5,0,,1977-05-01
1977,6,0,,1977-06-01
1977,7,0,,1977-07-01
1977,8,1,W,1977-08-01
1977,9,1,W,1977-09-01
1977,10,1,N,1977-10-01
1977,11,0,,1977-11-01
1977,12,0,,1977-12-01
1978,1,0,,1978-01-01
1978,2,0,,1978-02-01
1978,3,0,,1978-03-01
1978,4,0,,1978-04-01
1978,5,0,,1978-05-01
1978,6,0,,1978-06-01
1978,7,0,,1978-07-01
1978,8,1,E,1978-08-01
1978,9,1,E,1978-09-01
1978,10,1,N,1978-10-01
1978,11,0,,1978-11-01
1978,12,0,,1978-12-01
1979,1,0,,1979-01-01
1979,2,0,,1979-02-01
1979,3,0,,1979-03-01
1979,4,0,,1979-04-01
1979,5,0,,1979-05-01
1979,6,0,,1979-06-01
1979,7,0,,1979-07-01
1979,8,1,N,1979-08-01
1979,9,1,E,1979-09-01
1979,10,1,N,1979-10-01
1979,11,0,,1979-11-01
1979,12,0,,1979-12-01
1980,1,0,,1980-01-01
1980,2,0,,1980-02-01
1980,3,0,,1980-03-01
1980,4,0,,1980-04-01
1980,5,0,,1980-05-01
1980,6,0,,1980-06-01
1980,7,0,,1980-07-01
1980,8,1,S,1980-08-01
1980,9,1,S,1980-09-01
1980,10,1,W,1980-10-01
1980,11,0,,1980-11-01
1980,12,0,,1980-12-01
1981,1,0,,1981-01-01
1981,2,0,,1981-02-01
1981,3,0,,1981-03-01
1981,4,0,,1981-04-01
1981,5,0,,1981-05-01
1981,6,0,,1981-06-01
1981,7,0,,1981-07-01
1981,8,1,E,1981-08-01
1981,9,1,W,1981-09-01
1981,10,1,S,1981-10-01
1981,11,0,,1981-11-01
1981,12,0,,1981-12-01
1982,1,0,,1982-01-01
1982,2,0,,1982-02-01
1982,3,0,,1982-03-01
1982,4,0,,1982-04-01
1982,5,0,,1982-05-01
1982,6,0,,1982-06-01
1982,7,0,,1982-07-01
1982,8,1,N,1982-08-01
1982,9,1,N,1982-09-01
1982,10,1,W,1982-10-01
1982,11,0,,1982-11-01
1982,12,0,,1982-12-01
1983,1,0,,1983-01-01
1983,2,0,,1983-02-01
1983,3,0,,1983-03-01
1983,4,0,,1983-04-01
1983,5,0,,1983-05-01
1983,6,0,,1983-06-01
1983,7,0,,1983-07-01
1983,8,1,N,1983-08-01
1983,9,1,N,1983-09-01
1983,10,1,N,1983-10-01
1983,11,0,,1983-11-01
1983,12,0,,1983-12-01
1984,1,0,,1984-01-01
1984,2,0,,1984-02-01
1984,3,0,,1984-03-01
1984,4,0,,1984-04-01
1984,5,0,,1984-05-01
1984,6,0,,1984-06-01
1984,7,0,,1984-07-01
1984,8,1,N,1984-08-01
1984,9,0,,1984-09-01
1984,10,1,N,1984-10-01
1984,11,0,,1984-11-01
1984,12,0,,1984-12-01
1985,1,0,,1985-01-01
1985,2,0,,1985-02-01
1985,3,0,,1985-03-01
1985,4,0,,1985-04-01
1985,5,0,,1985-05-01
1985,6,0,,1985-06-01
